"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Chpt1","enzyme","catalyzes final step of de novo phosphatidylcholine (PC) biosynthesis (CDP-choline pathway); transfers choline-phosphate from CDP-choline to diacylglycerol producing PC; maintains vesicular membrane integrity","CDP-choline; diacylglycerol","endoplasmic reticulum; Golgi","ubiquitous; high in liver, brain, testis","hepatocytes; cancer cells; theca cells; neurons","phosphatidylcholine biosynthesis; Kennedy pathway; membrane biogenesis; lipid metabolism; choline metabolism","NA","NA","NA","NA","prostate cancer; breast cancer; PDAC; lung squamous cell carcinoma; ESCA","upregulated in cancer; promotes membrane biogenesis for proliferating cells; CHPT1 knockdown reduces PDAC gemcitabine resistance; poor prognosis","NA","NA","Choline phosphotransferase catalyzing the final step of phosphatidylcholine synthesis via the CDP-choline (Kennedy) pathway; upregulated in proliferating cancer cells."
"Cit","kinase","Ser/Thr phosphorylation; scaffolding for RHO/RAC effector function","MYL9/MLC2","midbody; central spindle; cytoplasm","brain; kidney; testis","neurons; dividing cells broadly","RHO GTPase signaling; cytokinesis; actomyosin contractility","Microcephaly; cytokinesis failure; multinucleated cells","severe","Microcephaly; cortical neurogenesis defects; cerebellar hypoplasia reported","Expressed in GNPs; loss impairs cerebellar development","none prominent","oncogenic kinase in cytokinesis; amplified in some cancers","Supports proliferation of GNPs; loss of expression marks cell cycle exit at differentiation","Citron kinase phosphorylates myosin light chain during cytokinesis and is required for CNS neurogenesis; downregulated upon GNP differentiation",NA
"Clasrp","other","Alternative splicing regulation; modulation of CLK kinase activity","CLK1 pre-mRNA splice sites","nucleus; splicing speckles","ubiquitous","dividing cells; cancer cells","pre-mRNA splicing; CLK kinase regulation","not well characterized in vivo","mild","not established","not reported","colorectal cancer; prostate cancer; lung cancer","promotes proliferation via splicing regulation; associated with cancer progression","not established","may modulate splicing programs during differentiation","CLK4-associated SR protein that regulates alternative splicing, particularly of CLK1; implicated in cancer progression but poorly characterized in neurons"
"Clcc1","ion channel","Anion (Cl-) channel; ER chloride efflux to compensate Ca2+ release","Cl- ions; ER lumen","endoplasmic reticulum membrane","retina; spinal cord motor neurons; liver; ubiquitous","motor neurons; retinal photoreceptors; hepatocytes","ER homeostasis; UPR; ER Ca2+ regulation; lipid metabolism","Motor neuron degeneration; retinitis pigmentosa; ALS-like pathology; hepatic steatosis","severe","ALS-like motor neuron degeneration; retinal photoreceptor death","expressed in developing cerebellum; role in GNP ER homeostasis inferred","ALS-like (rare variants); retinitis pigmentosa","GBM (surface marker); implicated in ER stress in cancer","Supports ER homeostasis during rapid proliferation; essential for proteostasis","CLCC1 is an ER anion channel maintaining calcium and proteostatic homeostasis; loss causes motor neuron and photoreceptor degeneration",NA
"Clip2","structural protein","Microtubule-membrane linkage; organelle tethering via CAP-GLY domain","microtubules; dendritic lamellar bodies","dendrites; microtubule cytoskeleton","brain (neurons)","neurons; dendritic neurons","microtubule organization; dendritic organelle transport","not well characterized; CLIP2-BRAF fusion in rare tumors","mild","dendritic morphology defects inferred","expressed in developing brain; role in GNP dendritogenesis inferred","thyroid carcinoma (radiation-associated); dermatofibrosarcoma; glioma (circCLIP2)","CLIP2-BRAF fusion oncogene in rare tumors; circCLIP2 promotes glioma","not established as monogenic disease gene","may regulate dendritic maturation during GNP differentiation","CAP-GLY domain linker protein that tethers microtubules to dendritic lamellar bodies in neurons; CLIP2-BRAF fusions are oncogenic"
"Cnst","scaffold/adaptor","Connexin trafficking; sorting to plasma membrane","connexins (Cx26, Cx43, etc.)","trans-Golgi network; plasma membrane","ubiquitous; gap junction-forming tissues","epithelial cells; cardiomyocytes; neurons","gap junction assembly; connexin trafficking","not well characterized","mild","gap junction-mediated neuronal coupling defects inferred","not specifically reported","osteosarcoma (circ-CNST biomarker)","circ-CNST acts as oncogenic circRNA promoting glycolysis in osteosarcoma","not established","gap junction regulation may influence GNP differentiation signaling","Consortin is required for connexin sorting to the plasma membrane; circ-CNST is an oncogenic circular RNA in osteosarcoma"
"Cntln","structural protein","Centrosome cohesion; CEP68 recruitment to centrosomes","CEP68; centriolar proteins","centrosome; centrioles","ubiquitous (centrosomal)","dividing cells; neural progenitors","centrosome cohesion; microtubule organizing center function; mitosis","Centrosome splitting; mitotic errors","moderate","neurogenesis defects from centrosome dysfunction inferred; associated with Alzheimer's disease CNV","expressed in GNPs consistent with rapid proliferation","osteosarcoma (FASN-regulated proteome)","supports centrosome integrity during tumor cell division","Alzheimer's disease (CNV locus); not established as monogenic disease","required for centrosome cohesion in proliferating GNPs; downregulated upon exit from cell cycle","Centrosomal protein required for centrosome cohesion and CEP68 recruitment; expressed in proliferating GNPs"
"Col1a2","ECM protein","Structural fibrillar collagen; forms type I collagen heterotrimer (alpha1/alpha2/alpha1) with COL1A1","integrins; DDR receptors; fibronectin","extracellular matrix; endoplasmic reticulum (biosynthesis)","bone; tendon; dermis; stroma broadly","fibroblasts; osteoblasts; CAFs; meningeal cells","ECM organization; TGF-beta signaling; integrin signaling; collagen fibrillogenesis","Connective tissue fragility; Oehler-Danlos syndrome (EDS) related; neonatal lethality (severe alleles)","severe","meningeal and glial scarring defects; spinal cord repair altered","expressed in cerebellar stroma/leptomeninges; H3K27me3-marked in GNPs (epigenetically silenced)","pancreatic cancer (homotrimer); gastric cancer; prostate cancer","COL1A2 silencing produces oncogenic alpha1 homotrimer in pancreatic cancer; CAF marker promoting tumor progression","not a primary neurological disease gene","epigenetically repressed in GNPs by H3K27me3; expressed in meningeal/stromal niche","Type I collagen structural subunit; H3K27me3-silenced in GNPs but expressed in cerebellar stromal compartment"
"Coq10a","other","Coenzyme Q chaperone; channels CoQ to sites of electron transport in the mitochondrial inner membrane","Coenzyme Q10 (ubiquinone); respiratory chain complexes","mitochondrial inner membrane","striated muscle; heart; ubiquitous","cardiomyocytes; skeletal muscle cells; neurons","mitochondrial electron transport; oxidative phosphorylation; antioxidant defense","CoQ deficiency phenotype (yeast); mitochondrial dysfunction","moderate","neurological defects from mitochondrial dysfunction inferred","not specifically reported","colon cancer (ER stress model); lung cancer (bone metastasis model)","putative role in cancer metabolism; not a validated oncogene","not established as primary neurological disease gene","mitochondrial function supports rapid proliferative metabolism in GNPs","CoQ10 chaperone that shuttles ubiquinone to respiratory chain complexes; supports mitochondrial function during GNP proliferation"
"Cpa4","protease","Metallocarboxypeptidase; cleaves hydrophobic C-terminal residues from peptides","peptide hormones; neuropeptides; ECM-derived peptides","secreted; extracellular","lung; pancreas; liver; broad","epithelial cells; stromal cells","peptide hormone catabolism; tumor microenvironment remodeling","not reported","not reported","not established","not specifically reported","lung cancer; liver cancer; gastric cancer; pancreatic cancer; endometrial cancer; renal cancer","oncogenic; promotes proliferation, invasion, EMT, and PD-L1-driven immune evasion","not established as neurological disease gene","may regulate neuropeptide signaling in developing cerebellum","Secreted metallocarboxypeptidase that cleaves hydrophobic C-terminal residues; broadly oncogenic across multiple cancer types"
"Cpvl","protease","Lysosomal serine carboxypeptidase; peptide trimming for antigen presentation; phagocytic digestion","lysosomal substrates; MHC class I peptide ligands","lysosome; secreted","macrophages; immune cells; brain (glioma)","macrophages; dendritic cells; microglia","lysosomal proteolysis; antigen presentation; innate immunity","not well characterized","mild","expressed in ALS-related transcriptomic studies","not specifically reported","osteosarcoma; glioma; gastric cancer; head and neck cancer","promotes tumor progression and immune evasion; macrophage-associated","ALS (transcriptome association)","may regulate lysosomal function during GNP differentiation","Lysosomal serine carboxypeptidase involved in antigen presentation and phagocytic digestion; promotes tumor progression"
"Crabp2","other","Retinoic acid transport to nucleus; regulates RAR access to retinoic acid; nuclear RA signaling","retinoic acid (RA); RAR-alpha; RAR-beta","cytoplasm; nucleus","skin; neural tissue; embryonic tissues broadly","neural progenitors; fibroblasts; keratinocytes; hair follicle DPCs","retinoic acid signaling; RAR transcription; cell cycle arrest; differentiation","Subtle defects in RA-responsive gene expression; limb patterning defects with CRABP1 double KO","mild","neural tube defects with combined CRABP1/2 loss; role in neural differentiation","expressed in developing cerebellum; H3K27me3-marked (silenced in GNPs)","lung cancer; colorectal cancer; breast cancer; melanoma","context-dependent tumor suppressor or promoter; mediates RA-induced growth arrest; linked to immunotherapy response","not a primary neurological disease gene","transports RA to nucleus to promote differentiation; H3K27me3 silencing in proliferating GNPs is released during differentiation","Cellular retinoic acid binding protein II channels RA to nuclear receptors; H3K27me3-silenced in proliferating GNPs and de-repressed during differentiation"
"Crebzf","transcription factor","bZIP transcriptional activation/repression; HCFC1-dependent transactivation; p53 stabilization; suppression of UPR","HCFC1; CREB3; p53; HEY1; STAT3","nucleus","liver; ovary; brain; ubiquitous","hepatocytes; granulosa cells; neural cells","UPR/ER stress response; ER stress; p53 pathway; STAT3 signaling; lipid metabolism","Hepatic steatosis; metabolic defects; promotes NASH fibrosis when expressed; KO attenuates NASH","moderate","expressed in neural cells; role in neuronal ER stress","not specifically reported","breast cancer; osteosarcoma (D-17); hepatocellular carcinoma","tumor suppressive in some contexts via UPR/p53; pro-fibrotic/oncogenic in others","not established as primary neurological disease gene","may suppress proliferation via p53/UPR in differentiating GNPs","CREB/ATF bZIP transcription factor that activates or represses target genes via HCFC1; modulates p53 and STAT3 pathways in metabolism and stress responses"
"Csgalnact1","enzyme","Glycosyltransferase; transfers GalNAc from UDP-GalNAc to GlcUA; initiates and elongates chondroitin sulfate chains","GlcUA-terminated oligosaccharides; aggrecan core protein","Golgi apparatus","cartilage; brain; bone; broadly","chondrocytes; neurons; oligodendrocytes; astrocytes","chondroitin sulfate biosynthesis; ECM assembly; perineuronal net formation; axon guidance","Reduced CS by ~50%; smaller cartilage; perineuronal net defects; altered synaptic plasticity; resistance to EAE; improved diabetic neuropathy resistance","moderate","Perineuronal net disruption; altered synaptic plasticity; cerebellar perineuronal nets affected","KO mice have reduced CS in brain; perineuronal nets disrupted in cerebellum","thyroid cancer; melanoma (m6A signature)","ECM modification supporting tumor microenvironment; not a primary oncogene","not an established monogenic neurological disease gene","chondroitin sulfate synthesis supports ECM niche during GNP differentiation","Glycosyltransferase that synthesizes chondroitin sulfate chains; KO mice have disrupted perineuronal nets and altered synaptic plasticity in cerebellum"
"Csnk1g3","kinase","Ser/Thr phosphorylation; Wnt pathway regulation; glutamate receptor phosphorylation","beta-catenin regulatory complex; AMPA/NMDA receptor subunits","plasma membrane (palmitoylated); cytoplasm","brain; broad","neurons; epithelial cells","Wnt/beta-catenin signaling; synaptic transmission; GPCR signaling","not well characterized in vivo","mild","involved in epilepsy models (circRNA-Csnk1g3/Wnt pathway); synaptic function","expressed in hippocampal neurons; cerebellar expression inferred","triple-negative breast cancer; kinase screen target in cancer","kinase target in cancer; modulates Wnt signaling","epilepsy (circRNA-Csnk1g3 pathway in traditional Chinese medicine models)","Wnt pathway modulation may influence GNP proliferation vs. differentiation","Membrane-anchored casein kinase 1 gamma isoform that phosphorylates Wnt pathway components and regulates synaptic glutamate transmission"
"Cspg4","ECM protein","Transmembrane proteoglycan; CS chain attachment; growth factor binding; integrin and RHO GTPase activation; MMP modulation","PDGF; VEGF; collagen VI; alpha4-beta1 integrin; MMP16; angiostatin; NLGN3","plasma membrane; extracellular","OPCs; pericytes; melanocytes; microvascular endothelium","oligodendrocyte precursor cells (OPCs); pericytes; melanoma cells","PDGF receptor signaling; integrin signaling; RHO GTPase activation; angiogenesis; OPC proliferation and migration","OPC differentiation defects; myelination defects in zebrafish; altered angiogenesis","moderate","OPC proliferation and migration defects; impaired myelination; NLGN3 receptor on glioma","expressed on OPCs in cerebellum; potential role in GNP niche signaling","melanoma; glioma; triple-negative breast cancer; prostate cancer","major oncoantigenic target; CAR-T target; promotes melanoma invasion; NLGN3 receptor on glioma","not a primary monogenic neurological disease gene","expressed in cerebellar OPC niche; may regulate GNP-OPC interactions","Chondroitin sulfate proteoglycan 4 (NG2) expressed on OPCs and pericytes; NLGN3 receptor on glioma; major CAR-T immunotherapy target in melanoma"
"Cyth2","GTPase/regulator","Guanine nucleotide exchange factor (GEF); activates ARF1/ARF3/ARF6 via GDP-to-GTP exchange","ARF1; ARF3; ARF6; ARL4","plasma membrane; cytoplasm","brain; broad","neurons; endothelial cells; immune cells","ARF GTPase signaling; vesicular trafficking; neurite outgrowth; actin cytoskeleton remodeling","CNKSR2-CYTH2 complex disruption causes intellectual disability and epilepsy phenotype","moderate","Intellectual disability; epilepsy; neurite outgrowth defects","expressed in neurons; implicated in CNKSR2-related X-linked intellectual disability","colorectal cancer; HCC; ovarian cancer","ARF6 activation promotes cancer cell migration and invasion","MRXSHG (X-linked intellectual disability/epilepsy via CNKSR2-CYTH2 axis)","ARF6-mediated membrane remodeling may regulate GNP migration and process outgrowth","Cytohesin 2 ARF-GEF that activates ARF6 to regulate membrane trafficking and neurite outgrowth; loss of CNKSR2-CYTH2 complex causes X-linked intellectual disability"
"D230025D16Rik","other","Autophagy regulation (macroautophagy); phagophore assembly; FoxO-dependent transcription target","ULK1/ATG complexes (indirect); autophagy machinery","cytoplasm; autophagosome","skeletal muscle; multiple tissues","myocytes; neurons","FoxO signaling; autophagy/mitophagy; mTOR pathway","Muscle atrophy; myopathy; impaired autophagy; elevated mTORC1 activity; reduced lifespan","moderate","neural defects in zebrafish KO; increased mortality","expressed in proliferating neural cells; role in GNP autophagy inferred","not established in cancer","may suppress tumorigenesis via autophagy induction","not established as monogenic neurological disease gene","autophagy regulation may be needed for metabolic remodeling during GNP differentiation","Mytho/PHAF1, a FoxO-regulated autophagy gene required for skeletal muscle integrity; KO causes myopathy and elevated mTORC1"
"Ddhd1","enzyme","Phospholipase A1 (PLA1); hydrolyzes sn-1 ester bonds of glycerophospholipids; produces free fatty acid + lysophospholipid","phosphatidic acid; phosphatidylinositol; PC; PE; PS; PG","ER membrane; cytoplasm; neuronal axons","nervous system; brain; spinal cord","neurons; motor neurons","phospholipid remodeling; PI/PIP2 homeostasis; GPR55 ligand (2-arachidonoyl-LPI) production","Hereditary spastic paraplegia (SPG28); axonal neuropathy; motor neuron degeneration","moderate-severe","Hereditary spastic paraplegia; axonal neuropathy; gait impairment; cerebellar eye movement disturbances","loss causes cerebellar eye movement disturbances and axonal neuropathy (SPG28)","colon cancer; esophageal cancer (lipid metabolism signature)","lipid remodeling supports cancer cell membrane dynamics; not a primary oncogene","SPG28 (hereditary spastic paraplegia); axonal neuropathy","phospholipid remodeling required for axonal maintenance; may modulate PI/PIP2 signaling in GNP differentiation","Intracellular phospholipase A1 that remodels phosphatidylinositol and phosphatidic acid; loss causes hereditary spastic paraplegia (SPG28)"
"Dedd2","other","Apoptosis regulation; caspase-8/10 nuclear targeting; intermediate filament degradation during apoptosis; transcriptional regulation via GTF3C3","CASP8; CASP10; intermediate filaments; GTF3C3","nucleus; cytoplasm","ubiquitous","epithelial cells; neurons; immune cells","Death receptor apoptosis (FADD/caspase cascade); Pol III transcription","not well characterized in vivo","mild","neuroprotective role inferred; expressed in neurons","not specifically reported","bladder cancer; breast cancer; lung cancer","DED-containing apoptosis regulator; loss may promote tumor survival","not established as primary neurological disease gene","apoptosis pathway regulation during GNP differentiation","Death effector domain protein that targets caspase-8/10 to the nucleus and regulates intermediate filament degradation during apoptosis"
"Dennd3","GTPase/regulator","GEF for Rab12; promotes GDP-to-GTP exchange on Rab12; regulates autophagy; endosomal trafficking; recycling endosome-to-lysosome transport","Rab12; PAT4 transporter; transferrin receptor","recycling endosomes; lysosomes; cytoplasm","heart; brain; broad","cardiomyocytes; neurons; dividing cells broadly","Rab12/mTORC1 signaling; autophagy; amino acid sensing; vesicular trafficking; ULK1-dependent phosphorylation","Ventricular fibrillation (rare variant p.R534S); Hirschsprung disease (rare variants)","moderate","role in neuronal vesicular trafficking inferred; enteric nervous system development","expressed in developing cerebellum; role in autophagy in GNPs inferred","lung adenocarcinoma (cancer stemness signature)","regulates lysosomal degradation and mTORC1 activity; modulates cancer stemness","Hirschsprung disease (rare variants); ventricular fibrillation","Rab12-dependent autophagy regulation may modulate mTORC1 during GNP differentiation","DENN-domain GEF that activates Rab12 to regulate autophagy and mTORC1 signaling; rare variants linked to Hirschsprung disease and ventricular fibrillation"
"Diap2","other","Formin; actin nucleation and polymerization; microtubule stabilization; chromosome alignment during mitosis","actin monomers; microtubules; RHO GTPases","spindle microtubules (mitosis); cytoplasm","broad; testis; ovary; colon","dividing cells; neurons; germ cells","RHO/formin actin dynamics; cytokinesis; spindle assembly; chromosome segregation","Primary ovarian insufficiency (POI); cytokinesis defects; chromosome missegregation","moderate","laryngeal cancer deletions suggest haploinsufficiency; neural invasion regulation in gastric cancer","expressed in dividing GNPs; DIAPH2 loss reduces proliferation rate","laryngeal squamous cell carcinoma; colorectal cancer; gastric cancer","chromosome instability; promotes invasion; DIAPH2-AS1 lncRNA drives neural invasion in gastric cancer","primary ovarian insufficiency (POI)","formin-mediated actin polymerization is required for GNP cytokinesis; downregulated at differentiation","Diaphanous formin 2 that nucleates actin and stabilizes spindle microtubules; required for chromosome alignment in mitosis; loss causes primary ovarian insufficiency"
"Dip2a","other","Acetyl-CoA synthesis (de novo, in vitro); CTTN acetylation; FSTL1 cell-surface receptor; AKT signaling activation","CTTN (cortactin); FSTL1; AKT","plasma membrane; cytoplasm; postsynaptic density","brain (highly); lung; heart","neurons; endothelial cells; cardiac myocytes","FSTL1/AKT pro-survival signaling; cortactin acetylation; dendritic spine morphology; synaptic transmission","Autism-like behaviors; defective social novelty; spine morphology defects; synaptic transmission defects","moderate","Autism-like behaviors; intellectual disability; dendritic spine morphology defects; synaptic transmission defects","highly expressed in developing brain; KO mice show autism-like behaviors and spine defects","gastric cancer; tongue cancer; lung cancer","DIP2A/FSTL1 axis promotes immune dysfunction and cancer resistance to therapy; poor prognostic factor","autism spectrum disorder (mouse model); not established as human monogenic ASD gene","cortactin acetylation and spine morphology regulation during GNP dendritic differentiation","DIP2A is a highly brain-enriched protein that acetylates cortactin for dendritic spine morphogenesis and acts as an FSTL1 receptor; KO mice show autism-like behaviors"
"Dnaja4","other","chaperone co-factor; stress response","HSP70 client proteins","cytoplasm; nucleus","ubiquitous; skin; keratinocytes","epithelial cells; keratinocytes","HSP70-mediated protein folding; heat stress response; apoptosis","growth arrest enhancement under hyperthermia; reduced stress resilience","mild","none reported","none reported","NPC; glioma; rhabdomyosarcoma","tumor suppressor (hypermethylated/silenced in NPC, rhabdomyosarcoma); risk factor in glioma","none specific","regulates cell cycle arrest and apoptosis under stress; role in proliferating cells","HSP40 co-chaperone upregulated by heat stress; tumor suppressor silenced by hypermethylation in NPC and rhabdomyosarcoma; modulates CLU/ERK to control proliferation and apoptosis"
"Dnajc1","other","chaperone co-factor; translation modulation","ribosomal/ER client proteins","ER membrane; cytoplasm","brain; liver; bone marrow","neurons; hepatocytes; leukemic cells","protein quality control; ER stress; translation regulation","unknown (KO not well characterized in vivo)","unknown","expressed in neurons; linked to prion disease chaperone network","none specific","GBM; HCC; neuroblastoma; AML; osteosarcoma","oncogenic in GBM/HCC (promotes proliferation/survival); oncogenic in MYCN-amplified neuroblastoma","prion disease (modulates PrPD accumulation via chaperone network)","promotes proliferative state in neural and hematopoietic progenitors","Hsp40 subfamily C chaperone that modulates protein synthesis and ER quality control; oncogenic in GBM and HCC; interacts with prion chaperone network"
"Dnm3","GTPase/regulator","GTP hydrolysis; membrane tubulation; endocytosis","GTP; membrane lipids","cytoplasm; cytoskeleton; synaptic vesicles","brain; testis; bone marrow","neurons; megakaryocytes","endocytosis; membrane remodeling; cytokinesis; vesicular trafficking","impaired megakaryocyte maturation; reduced proplatelet formation","moderate","expressed in hippocampus; altered in forebrain ischemia","none specific","colon cancer; glioblastoma; cholangiocarcinoma","tumor suppressor in colon cancer (upregulated by siPRDX2); target of oncomiRs (miR-221, miR-23a)","Parkinson's disease modifier (modifies LRRK2 G2019S AAO); FTLD CSF biomarker","role in megakaryocyte differentiation; expressed during neural progenitor expansion","Dynamin GTPase involved in endocytosis and membrane remodeling; required for megakaryocyte differentiation; modifier of Parkinson's disease onset"
"Dohh","enzyme","iron-dependent dioxygenase; hypusination","eIF5A (deoxyhypusine intermediate on Lys50)","cytoplasm","ubiquitous; liver; lung","all proliferating cells; hepatocytes; pulmonary artery cells","hypusine biosynthesis; eIF5A activation; translation elongation; cell proliferation","embryonic lethal (KO mouse); arrested proliferation; impaired translation","lethal","essential for neural progenitor proliferation (inferred from eIF5A dependency)","none specific","leukemia; melanoma","tumor dependency for proliferation via eIF5A hypusination","none specific","essential enzyme for proliferating progenitor cells; supports translation elongation","Deoxyhypusine hydroxylase catalyzing the second step of eIF5A hypusination; essential for cell proliferation; targeted by ciclopirox and antimalarial compounds"
"Dyrk3","kinase","dual-specificity Ser/Thr and Tyr kinase; membraneless organelle dissolution","SRRM1; PCM1; ZNF207; stress granule components; nuclear speckle components","cytoplasm; nucleus; centrosome","testis; erythroid progenitors; brain","erythroid progenitors; proliferating cells","stress granule disassembly; mitotic progression; mTORC1 signaling; G2/M transition","impaired stress recovery; attenuated anemia-induced erythropoiesis; normal baseline hematopoiesis","mild (conditional)","expressed in brain; inhibition alters GBM metabolism","none specific","melanoma; neuroblastoma; GBM; OSCC","context-dependent oncogenic; promotes survival in melanoma and neuroblastoma; metabolic reprogrammer in GBM","none specific","promotes G2/M transition in proliferating cells; dissolves membraneless organelles at mitosis onset","Dual-specificity kinase that dissolves membraneless organelles at mitosis onset to release mitotic regulators; regulates stress granule disassembly and erythropoiesis during anemia"
"Efhc1","structural protein","microtubule-associated protein; cilia MIP; cell division regulator","microtubules; CACNA1E; mitotic spindle","centrosome; mitotic spindle; cilia axoneme; cytoplasm","brain; ependyma; trachea; sperm","neurons; ependymal cells; ciliated cells; neural progenitors","mitotic spindle organization; cilia motility; neuronal migration; apoptosis induction","disrupted mitotic spindle; impaired M-phase progression; increased apoptosis; cortical and subcortical malformation; impaired neuronal migration","moderate-severe","cortical and subcortical architectural defects; impaired neuronal/radial migration; ependymal cilia dysfunction","expressed in cerebellum and ependyma; low but detectable mRNA in multiple brain structures","gastric cancer (indirectly via lncRNA NRAV)","indirect/minor","juvenile myoclonic epilepsy (JME)","required for mitotic spindle integrity during neural progenitor divisions; regulates neuronal migration","Microtubule-associated and cilia inner protein mutated in juvenile myoclonic epilepsy; regulates mitotic spindle organization and neuronal migration during brain development"
"Efnb1","other","ephrin ligand; bidirectional cell-cell signaling","EPHB1; EPHB2; EPHB3 receptors","plasma membrane","brain; thymus; epithelium; vascular","neurons; T cells; epithelial cells; cortical progenitors","Eph-ephrin bidirectional signaling; axon guidance; cell migration; apoptosis (senescence)","craniofrontonasal syndrome phenotype in females (X-linked); disrupted apical surface size in cortical progenitors","moderate","cortical progenitor apical surface defects; axon guidance errors; commissural axon collapse","none specific","GBM; glioma; gastric cancer; esophageal cancer","context-dependent (tumor suppressor in glioma; promotes invasion in esophageal cancer via EPHB2)","craniofrontonasal syndrome","mediates contact-dependent repulsion during neural progenitor organization; regulates apical progenitor surface size","GPI-anchored ephrin B1 ligand mediating bidirectional Eph-ephrin contact repulsion; guides axons and cortical progenitor organization; mutated in craniofrontonasal syndrome"
"Egln3","enzyme","prolyl hydroxylase; oxygen sensor","HIF1A; HIF2A; PKM; ATF4; GPX4; TELO2","cytoplasm; ER","ubiquitous; brain; kidney; lung; thyroid","endothelial cells; neurons; microglia; renal cells; neuroendocrine cells","HIF-alpha destabilization; oxygen sensing; DNA damage response; angiogenesis regulation","impaired HIF regulation; context-dependent effects on tumor suppression","mild (adult conditional)","expressed in microglia; Egln3 differentially expressed in AD microglia","none specific","lung adenocarcinoma; renal cell carcinoma; gastric cancer; medullary thyroid carcinoma; endometrial cancer","tumor suppressor (frequently silenced/downregulated in multiple cancers); promotes HIF degradation","Alzheimer's disease (microglial Egln3 dysregulation)","suppresses proliferation via HIF destabilization; expressed during progenitor expansion","Prolyl hydroxylase oxygen sensor that hydroxylates HIF1A/2A to trigger proteasomal degradation under normoxia; frequently silenced as tumor suppressor; regulates DDR in lung adenocarcinoma"
"Ehmt1","enzyme","histone H3K9 methyltransferase (mono/di/trimethyl); H3K27 weak methylation","H3K9; H3K27; H1.4K26","nucleus; heterochromatin","brain; muscle; adipose; ubiquitous","neurons; myoblasts; OPCs; cancer cells","H3K9me2/3 heterochromatin formation; gene silencing; DNA methylation; G0/G1 cell cycle regulation; brown adipogenesis","Kleefstra syndrome (haploinsufficiency); intellectual disability; cardiac defects; autism","severe (haploinsufficiency lethal effects in humans)","intellectual disability; autism; Kleefstra syndrome; OPC proliferation regulation","expressed in cerebellum (inferred from broad brain expression)","rhabdomyosarcoma; ovarian cancer; prostate cancer","oncogenic in ARMS and ERMS rhabdomyosarcoma (maintains stemness); oncogenic in prostate cancer; target for PARPi-resistant ovarian cancer","Kleefstra syndrome; intellectual disability; autism spectrum disorder","silences differentiation genes during proliferative phase; promotes G0/G1 via E2F/MYC gene repression","H3K9me1/2/3 methyltransferase (GLP) that deposits repressive marks in euchromatin; haploinsufficiency causes Kleefstra syndrome; maintains cancer stem cell state in rhabdomyosarcoma"
"Ehmt2","enzyme","histone H3K9 methyltransferase (mono/dimethyl); H3K56me1; H1.4K26 methylation; non-histone methylation","H3K9; H3K56; H1.4K26; p53; DNMT3A; PCNA","nucleus; nuclear lamina","ubiquitous; brain; immune","OPCs; cancer cells; immune cells; embryonic cells","H3K9me2 heterochromatin; LAD organization; replication fork stability; immune gene regulation; pluripotency control","embryonic lethal (homozygous); severe defects in DNA methylation and gene silencing","lethal","expressed in OPCs; promotes OPC proliferation via H3K9me2","none specific","uveal melanoma; prostate cancer; various","oncogenic (promotes proliferation/migration in uveal melanoma and prostate cancer)","none specific","silences differentiation genes; promotes DNA replication fidelity (H3K56me1-PCNA); essential during embryonic proliferation","H3K9me1/2 methyltransferase (G9a) that organizes nuclear lamina-associated heterochromatin; promotes replication fork stability; oncogenic in uveal melanoma and prostate cancer"
"Eif2c2","other","RNA-induced silencing complex (RISC) catalytic core; miRNA-mediated mRNA silencing","target mRNAs (via miRNA guide); AGO2-miRNA complex","cytoplasm; nucleus (cardiac); P-bodies","ubiquitous","all cell types; cardiomyocytes","miRNA biogenesis and function; RISC assembly; post-transcriptional gene regulation; cell senescence reversal","pleiotropic; miRNA pathway disruption; early embryonic defects","lethal","broadly expressed; nuclear AGO2 in cardiomyocytes regulates gene expression","none specific","lung cancer; gastric cancer; gallbladder cancer; multiple cancers","oncomiR platform (target of oncogenic miRNAs); tumor suppressor miRNA silencing via AGO2","heart failure (nuclear AGO2 dysregulation)","post-transcriptional silencing of differentiation genes during proliferative state; miRNA-dependent gene regulation","AGO2 (EIF2C2) is the catalytic RISC Argonaute that executes miRNA-mediated silencing; nuclear AGO2 regulates gene expression in cardiomyocytes; central hub for miRNA-dependent proliferation control"
"Eif4g3","scaffold/adaptor","eIF4F complex scaffold; mRNA cap recognition assembly; translation initiation","eIF4E; eIF4A; PABP; mRNA 5' cap","cytoplasm; ribosome","testis; lymph nodes; ubiquitous","spermatocytes; lymph node stromal cells; proliferating cells","eIF4F cap-dependent translation initiation; meiotic progression; cell-cycle-regulated translation","male infertility (spermatocyte-specific defects); meiotic defects when partner proteins disrupted","mild (tissue-specific)","expressed in brain (inferred); regulated by DEAF1 in lymph node stromal cells","none specific","gastric cancer (via circ-EIF4G3)","circ-EIF4G3 acts as oncomiR sponge in gastric cancer","none specific","supports cap-dependent translation during active cell cycle; G1-phase translation burst","eIF4GII scaffold of the eIF4F translation initiation complex; functional homolog of EIF4G1; regulated by DEAF1 in immune stroma; linked to gastric cancer via circular RNA"
